condition,experiment_id,meta_round,behavioral_distance,structural_similarity,valid_behavior_pairs,valid_structure_pairs,total_pairs
OF,exp_113,1,0.254153,0.281621,10,10,10
OF,exp_113,2,0.260796,0.336533,10,10,10
OF,exp_113,3,0.258387,0.356732,10,10,10
OF,exp_114,1,0.323519,0.286139,10,10,10
OF,exp_114,2,0.285685,0.27553,10,10,10
OF,exp_114,3,0.295894,0.314753,10,10,10
OF,exp_115,1,0.297407,0.306211,10,10,10
OF,exp_115,2,0.307181,0.265254,10,10,10
OF,exp_115,3,0.341091,0.284691,10,10,10
OF,exp_116,1,0.271068,0.301744,10,10,10
OF,exp_116,2,0.332708,0.362059,10,10,10
OF,exp_116,3,0.34577,0.332363,10,10,10
OF,exp_117,1,0.318886,0.313656,10,10,10
OF,exp_117,2,0.45721,0.299476,10,10,10
OF,exp_117,3,0.460791,0.298797,10,10,10
OF,exp_118,1,0.287401,0.347575,10,10,10
OF,exp_118,2,0.387721,0.329411,10,10,10
OF,exp_118,3,0.314739,0.323678,10,10,10
OF,exp_119,1,0.1616,0.301116,10,10,10
OF,exp_119,2,0.230128,0.349688,10,10,10
OF,exp_119,3,0.325222,0.340487,10,10,10
OF,exp_120,1,0.306257,0.271172,10,10,10
OF,exp_120,2,0.418463,0.319866,10,10,10
OF,exp_120,3,0.405788,0.330748,10,10,10
OPF,exp_001,1,0.301001,0.338199,10,10,10
OPF,exp_001,2,0.217298,0.397832,10,10,10
OPF,exp_001,3,0.266071,0.376265,10,10,10
OPF,exp_002,1,0.310386,0.343834,10,10,10
OPF,exp_002,2,0.239611,0.383329,10,10,10
OPF,exp_002,3,0.278842,0.412035,10,10,10
OPF,exp_003,1,0.249396,0.289008,10,10,10
OPF,exp_003,2,0.27826,0.378517,10,10,10
OPF,exp_003,3,0.274375,0.39408,10,10,10
OPF,exp_004,1,0.231531,0.363823,10,10,10
OPF,exp_004,2,0.246963,0.455495,10,10,10
OPF,exp_004,3,0.266735,0.468301,10,10,10
OPF,exp_005,1,0.303947,0.295369,10,10,10
OPF,exp_005,2,0.249163,0.331501,10,10,10
OPF,exp_005,3,0.291261,0.380645,10,10,10
OPF,exp_006,1,0.278953,0.33655,10,10,10
OPF,exp_006,2,0.267639,0.378405,10,10,10
OPF,exp_006,3,0.244308,0.461681,10,10,10
OPF,exp_007,1,0.333591,0.287192,10,10,10
OPF,exp_007,2,0.297859,0.415265,10,10,10
OPF,exp_007,3,0.355472,0.426856,10,10,10
OPF,exp_008,1,0.283891,0.2937,10,10,10
OPF,exp_008,2,0.171847,0.428594,10,10,10
OPF,exp_008,3,0.245916,0.460435,10,10,10
OPF,exp_009,1,0.256898,0.290663,10,10,10
OPF,exp_009,2,0.226711,0.439307,10,10,10
OPF,exp_009,3,0.239253,0.522021,10,10,10
OPF,exp_010,1,0.346319,0.297484,10,10,10
OPF,exp_010,2,0.272142,0.40471,10,10,10
OPF,exp_010,3,0.28309,0.323885,10,10,10
OPF,exp_011,1,0.254902,0.258821,10,10,10
OPF,exp_011,2,0.233508,0.381708,10,10,10
OPF,exp_011,3,0.218689,0.406369,10,10,10
OPF,exp_012,1,0.279811,0.31308,10,10,10
OPF,exp_012,2,0.22334,0.418626,10,10,10
OPF,exp_012,3,0.242721,0.426998,10,10,10
OPF,exp_013,1,0.332137,0.332044,10,10,10
OPF,exp_013,2,0.228937,0.442297,10,10,10
OPF,exp_013,3,0.198958,0.472092,10,10,10
OPF,exp_014,1,0.250068,0.307384,10,10,10
OPF,exp_014,2,0.293088,0.42293,10,10,10
OPF,exp_014,3,0.234321,0.470277,10,10,10
OPF,exp_015,1,0.216243,0.305035,10,10,10
OPF,exp_015,2,0.234135,0.432951,10,10,10
OPF,exp_015,3,0.191181,0.410524,10,10,10
OPF,exp_016,1,0.266902,0.311764,10,10,10
OPF,exp_016,2,0.271216,0.411586,10,10,10
OPF,exp_016,3,0.264986,0.432144,10,10,10
OPF,exp_017,1,0.24763,0.307556,10,10,10
OPF,exp_017,2,0.308935,0.424377,10,10,10
OPF,exp_017,3,0.218932,0.440087,10,10,10
OPF,exp_018,1,0.257075,0.283426,10,10,10
OPF,exp_018,2,0.260398,0.430275,10,10,10
OPF,exp_018,3,0.258075,0.447307,10,10,10
OPF,exp_019,1,0.243903,0.293879,10,10,10
OPF,exp_019,2,0.356729,0.455197,10,10,10
OPF,exp_019,3,0.295197,0.471593,10,10,10
OPF,exp_020,1,0.278939,0.331527,10,10,10
OPF,exp_020,2,0.269994,0.397308,10,10,10
OPF,exp_020,3,0.266014,0.426801,10,10,10
