exp,meta_round_id,agent_id,backend,model,temperature,survival_days,death_day,death_count,mortality_rate,final_status,status_alive,final_hp,final_budget,total_bid,avg_bid,bid_variance,max_bid,min_bid,error_count,compile_success,runtime_success,strategy_complexity
exp_002,1,David,gemini,gemini-3.1-flash-lite,0.6,6,7,1.0,100.0,dead,0.0,0.0,0.0,364.0,36.4,679.84,60.0,0.0,0,1.0,1.0,91.0
exp_002,1,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,6.0,1001.0,735.0,73.5,1225.0,143.5,56.0,0,1.0,1.0,196.0
exp_002,2,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,9.0,70.0,980.336,98.0336,1022.0546796716027,147.96,49.0,0,1.0,1.0,806.0
exp_002,2,Bob,openai,gpt-5.4-nano,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,256.68,25.668,1026.8480160000001,81.18,0.0,0,1.0,1.0,445.0
exp_002,2,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,9.0,925.0111999999999,1132.84392,113.284392,368.45459915577595,135.0,90.0,0,1.0,1.0,325.0
exp_002,2,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,10.0,151.47332959999994,947.585808,94.7585808,1580.2009803612443,148.55400000000003,15.0,0,1.0,1.0,158.0
exp_002,2,Eric,deepseek,deepseek-v4-flash,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,60.0,6.0,54.0,15.0,0.0,0,1.0,1.0,8.0
exp_002,3,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,339.384,33.9384,1929.4578950399998,108.86399999999999,0.0,0,1.0,1.0,560.0
exp_002,3,Bob,openai,gpt-5.4-nano,0.6,4,5,1.0,100.0,dead,0.0,0.0,0.0,322.0155,32.20155,1074.4785288224996,70.1415,0.0,0,1.0,1.0,399.0
exp_002,3,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,404.0999999999999,1313.4,131.34,317.9603999999999,153.1,90.0,0,1.0,1.0,289.0
exp_002,3,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,2.0,413.47399999999993,955.4357666666667,95.54357666666667,1723.3633676448999,152.1,1.0,0,1.0,1.0,196.0
exp_002,3,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,5.0,744.8,1285.2,128.52,57.15359999999995,151.2,126.0,0,1.0,1.0,229.0
exp_002,4,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,329.8,32.980000000000004,2150.4036,129.0,0.0,0,1.0,1.0,739.0
exp_002,4,Bob,openai,gpt-5.4-nano,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,231.0
exp_002,4,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,9.0,499.54317499999985,1338.5886500000001,133.858865,2276.2203717404013,174.66557500000005,2.0,0,1.0,1.0,368.0
exp_002,4,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,7.0,177.4142884999998,1149.2980240000002,114.92980240000001,3023.5495834862095,176.62888650000005,0.0,0,1.0,1.0,188.0
exp_002,4,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,263.2363499999998,1397.5886500000001,139.75886500000001,500.89916224040076,174.66557500000005,105.0,0,1.0,1.0,227.0
exp_002,5,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,334.12,33.412,1875.077696,99.62,0.0,0,1.0,1.0,575.0
exp_002,5,Bob,openai,gpt-5.4-nano,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,235.0,23.5,866.85,67.0,0.0,0,1.0,1.0,401.0
exp_002,5,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,866.36125,1144.26375,114.42637500000001,481.72512326562486,146.75,90.0,0,1.0,1.0,430.0
exp_002,5,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,9.0,106.88625000000002,1051.695,105.1695,407.4990988124998,141.75,80.0,0,1.0,1.0,173.0
exp_002,5,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,8.0,1052.0,599.0,59.9,869.09,103.0,1.0,0,1.0,1.0,249.0
exp_002,6,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,305.0,30.5,1546.2,91.5,0.0,0,1.0,1.0,517.0
exp_002,6,Bob,openai,gpt-5.4-nano,0.6,7,8,1.0,100.0,dead,0.0,0.0,0.0,643.7736,64.37736,1177.7004051264,85.5,0.0,0,1.0,1.0,434.0
exp_002,6,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,563.1424999999999,1034.3575,103.43575000000001,50.12927756250008,117.60750000000002,97.5,0,1.0,1.0,415.0
